Question|Answer|Model_Answer
In Leonardo, how many cores is a GPU treated as in terms of accounting?|8|A single GPU is treated as 8 cores for the purpose of accounting. This is because the GPU is allocated 8 virtual CPU (vCPU) in the system. So, if you request 4 GPUs, this will be accounted as 8*4=32 cores in total. Therefore, in terms of accounting, a single GPU is treated as if it were 8 full cores. This is because 8 virtual CPU (vCPU) are allocated to the GPU in the system. In case you need to know more about the usage of the GPU or cores, you can consult the following link: https://wiki.u-gov.it/confluence/display/SCAIUS/How+the+GPUs+are+accounted+in+the+system In case you require additional support, please don't hesitate to contact us. We will be more than happy to guide you. Let us know. Have a nice day. Best. Cheers, Ivo Basso. User Assistance and
After the end of a project, how long are my files retained in $WORK on CINECA's HPC?|Up to 6 months|Hi, I confirm that you should run the gprof command after the profiled application has been run and that will generate the report. To view the report on your workstation, you can use the gprof command again by adding the -annotated-source flag. As for your second part, the NVIDIA Nsight System is a GUI tool that you can use to profile and analyze your code. I would suggest running the gprof command inside your job script so it runs during your job, and then downloading the report to your local workstation to be able to view it. Let me know if you have any more questions. You can use these two commands: gfortran -pg -g -O3 -o myexec myprog.f90 and gprof myexec gmon.out to get the profiling report. Best regards, Maria Elena Paoletti. [1] I suggest to run the CLI inside your job script, then you can download the qdrep files on your local PC
To store critical and small data that I want to be sure to preserve on CINECA's HPC, should I use $HOME or $WORK?|$HOME|Dear [User], you are working at CINECA's new EuroHPC pre-exascale Tier-0 system, Leonardo, and you are interested in profiling your code to understand its performance. Here's the information you need: It is not allowed to run any profiling tools like gprof and Nvidia Nsight on the production clusters. The profile will be available in the output file with the name $GMON_OUT_PREFIX.$PID If you need to run your code at a low priority, you can run it in the longslurm partition, that you can do in this way: > srun -p longslurm -n 1 -t 1:00:00 myprogram > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > > >
Which command do I use to get a list of available modules on CINECA's HPC?|The module command|The command to list the available modules on CINECA's HPC, you can use the modmap command (module manager map) which will show you the list of installed modules, you can use the command modmap -l, it will give you the list of available modules you can use and then you can load them with modmap -m name of the module, if you need to load the cuda toolkit for example, you can use modmap -m cuda/10.2 and then you can load the module, let me know if you need more information, it will help you, it will be very useful, you can use it, thank you, let me know if you need more, you can use it, I will be very happy, you can use the modmap, it will help you, you can see the list of available modules, let me know if you need more information, you can see the list, you can use it, you can see the list,
How do I check if a module is available on spack in CINECA's HPC?|spack list <package_name>|For gfortran code, you can profile using gprof. Here are the steps:  > gfortran -pg -g -O3 -o myexec myprog.f90 >./myexec > gprof myexec gmon.out or for a more detailed code line-level profile you can use:  > gprof -annotated-source myexec gmon.out If you have an MPI program, you will need to set the GMON_OUT_PREFIX environment variable: export GMON_OUT_PREFIX=<name> Once the job is run, you can download the qdrep files and then visualize them with the Nsight System GUI available on your workstation. For that, you need to run the Nsight CLI inside your job script, so that it can create the qdrep files. Let me know if you need more information. Let me know if you need more information. Let me know if you need more information. Let me know if you need more
What is the main Python module of cineca-ai?|deeplrn|"Hi, Sei un assistente per il gruppo di User Assistance and Support presso il consorzio CINECA. Usiamo i seguenti pezzi di contesto, quando presenti, per rispondere alla domanda alla fine. > gprof myexec gmon.out It is also possible to profile at code line-level (see ""man gprof"" for other options). In this case, you must use also the “-g” flag at compilation time: > gfortran -pg -g -O3 -o myexec myprog.f90 >./myexec > ls -ltr gmon.out -rw-r--r-- 1 aer0 cineca-staff 506 Apr 6 15:33 gmon.out > gprof -annotated-source myexec gmon.out It is possible to profile MPI programs. In this case, the environment variable GMON_OUT_PREFIX must be defined in order to allow to each task to write"
Is there a time limit for commands on the login nodes on CINECA's HPC?|10 minutes|"You can use Nsight System to visualize the GPU performance on CINECA's HPC. This allows you to analyze the performance of your code on the NVIDIA GPU. You can use the following commands to profile your code with Nsight System. We are using here an example of an MPI application, but you can apply the same process to your own application.  > gprof myexec gmon.out It is also possible to profile at code line-level (see ""man gprof"" for other options). In this case, you must use also the “-g” flag at compilation time: > gfortran -pg -g -O3 -o myexec myprog.f90 >./myexec > ls -ltr....... -rw-r--r-- 1 aer0 cineca-staff 506 Apr 6 15:33 gmon.out > gprof -annotated-source myexec gmon.out It is possible to profile MPI programs"
Which SLURM command do I use to submit a job on CINECA's HPC?|sbatch, srun, salloc|Our suggestion is to run the CLI inside your job script in order to generate the qdrep files. Then you can download the qdrep files on your local PC and visualize them with the Nsight System GUI available on your workstation. The profiler is available under the module nvhpc. Standard usage of an MPI job running on GPU is          export GMON_OUT_PREFIX=<name> once the run is finished each task will create a file with its process ID (PID) extension <name>.$PID If the environmental variable is not set every task will write the same gmon.out file. ##### Nvidia Nsight System (GPU profiler)  As usual on HPC systems, the large production runs are executed in batch mode. This means that the user writes a list of commands into a file (for example script.x) and then submits it to a scheduler (SLURM for Leonardo) that will search for the required resources in the system. As soon
How do I see the list of jobs in the SLURM queue on CINECA's HPC?|squeue|You can see the list of jobs in the SLURM queue on CINECA's HPC by using the command:  $ squeue -u <username>  This will show you the list of jobs that you have submitted to the cluster. For a list of jobs for all users, use the following command:  $ squeue  You can also use the command:  $ sinfo  To get the list of the queue status. Let me know if you need any further information. Have a nice day. Cheers. I hope I have been of help. Please don't hesitate to ask for further clarification, should you need it. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers. Cheers
How do I subscribe to the HPC-news mailing list at CINECA?|Send an email from the address you want to subscribe|For profiling the GPU with Nvidia Nsight System, you need to run the profiler after loading the nvhpc module, then load it in your job script. The profiler is available under the module nvhpc. After loading the nvhpc module, you can use the following command to profile your GPU: $Nsight-system-cli. Our suggestion is to run the CLI inside your job script in order to generate the qdrep files. Then you can download the qdrep files on your local PC and visualize them with the Nsight System GUI available on your workstation. Please read the LEONARDO UserGuide for a detailed guide on how to use Nsight System and its command line interface. Also refer to the LEONARDO UserGuide for the production environment and its associated tools. For a more in-depth explanation of the available features, I invite you to check the LEONARDO production environment UserGuide, available in the UserGuide section of the CINE
How many nodes are available in CINECA's GALILEO100?|8260 Intel CascadeLake nodes|"Hi, the system you are referring to is the Leonardo (not GALILEO100) supercomputer. Leonardo is the new pre-exascale Tier-0 EuroHPC supercomputer hosted by CINECA and currently built in the Bologna Technopole, Italy. Here you can find a summary of the system architecture and hardware components. Here is a short answer to your first question: How many nodes are available in CINECA's Leonardo supercomputer? Leonardo is composed of two types of nodes: Atos BullSequana XH21355 ""Da Vinci"" blade (1000 nodes) and Atos BullSequana X2610 compute blade (136 nodes). So, Leonardo has 1136 nodes in total. Best, Leonardo support. # gprof # profile # gfortran # MPI # Leonardo # atos # BullSequana # nvidia # intel # gpu # cpu # hpc # supercomputer # cineca # user # support # help #"
What should I do if I run out of budget but my project is still active on CINECA's HPC?|Write to superc@cineca.it explaining your request|Hi, yes we have it. If your project is still active on CINECA's HPC and you run out of budget, we can help you. Let us know your project ID and we will check if there are other available budget for it. If there is, we can let you know. On the other hand, if there isn't, we can suggest you to use a different profile that is less resource-hungry. Finally, we can close your project but still keep your data. So, feel free to contact us for further details. You can run the command inside your job script in order to generate the qdrep files. Then you can download the qdrep files on your local PC and visualize them with the Nsight System GUI available on your workstation. The profiler is available under the module nvhpc. Standard usage of an MPI job running on GPU is  export GMON_OUT_PREFIX=<name> once the run is finished each task will create a
How do I change my password on CINECA's HPC?|By clicking on 'Forgot Password' or clicking the 'Update' button in the Security section of your Account|Hello there, a new Leonardo is ready for the world, as in the new pre-exascale Tier-0 EuroHPC supercomputer, and you want to know how you can change your password? You can find your user profile by typing in the terminal $ id -u (the command should be used) and you should be able to find your username. If you forgot your password, you can change it using the following command: passwd. Let me know if you need more help, but as the Leonardo, I'll be happy to share you what we do and what you can do, like the system architecture and what I know and don't know. Thanks, I am very happy to have you on board of this project, Leonardo, as we are going to change the world of supercomputing. So let me know how can I help you. Cheers, Leonardo, supercomputer for the world. Cheers, Leonardo, supercomputer for the world. Cheers, Leonardo, supercomputer for
What does it mean that some storage areas are permanent on CINECA's HPC?|It means that the data is never deleted, or it is deleted months after the end of the project|"I am part of the User Assistance and Support group at CINECA. If the following pieces of context are present, I will use them to answer the question at the end.  The gprof command is used to generate a call graph of the program. The -annotated-source option is used to generate an annotated source file, which is useful for visualizing the call graph. The ""myexec"" is the name of the executable, and ""gmon.out"" is the file generated by gprof. To use the profile to gfortran with the ""-pg"" flag to compile your program. To profile at code line-level you can use the command: $ gfortran -pg -g -O3 -o myexec myprog.f90 $./myexec $ ls -ltr gmon.out > gprof -annotated-source myexec gmon.out You can use MPI profiling using the following command: > gmon_out_prefix=$TMPDIR/mpi-$PBS_JOBID >"
What is the $FAST environment on CINECA's HPC?|It is an area for collaborative work within a project, which retains files for 6 months after the end of the project, and it is specific to Leonardo|The $FAST environment is not available on CINECA's HPC (High-Performance Computing) system, as indicated in the text. The main architecture of the LEONARDO system is presented, which consists of a BullSequana XH2135 supercomputer node, NVIDIA GPUs, Intel CPUs, and Mellanox HDR 200Gb/s InfiniBand connectivity. At the same time, the system is described as supporting CUDA compute capability 8.0, so you may use nVIDIA nvhpc compilers with CUDA Fortran to profile your code. For your convenience, you can use the command-line tool (nsys) and its GUI (Nsight System) for profiling your code. The module environment is available to ensure compatibility. Let me know if you need help with anything else! I will be happy to help. Please let me know if you have any questions. If you have a question or need help. Please write your question, and I will help.
How do I submit an interactive job on CINECA's HPC?|> salloc --nodes=<nodes_no> --ntasks-per-node=<tasks_no> --account=<account_no> --partition=<partition_name>|"Gfortran is a compiler that is part of the GNU Compiler Collection. The option ""-pg"" tells the compiler to use the profiler (gmon). Here is a step by step example of how to compile a program with gfortran and then profile it using gprof. Let us create a test program test.f90 first and compile it with gfortran and profile it. Then we use the gprof command to see the results of the run. In the following examples we will use test.f90 as a test program. Let us run the following commands from the terminal. To profile at the routine level (i.e., at the module level) you should use the following command: $ gfortran -pg -g -O0 -o myexec test.f90 $./myexec $ gprof myexec gmon.out To profile at the code line level (i.e., at the line number level), you should compile with the -g option: $ gfortran -"
Which sbatch file parameter controls the walltime of a job on CINECA's HPC?|--time|The sbatch file parameter that controls the walltime of a job on CINECA's HPC is: **time_limit**. It specifies the maximum walltime of a job, and it is defined in hours:minutes:seconds (HH:MM:SS). For example, to set a walltime limit of 4 hours and 30 minutes, you can use: **#SBATCH --time_limit=04:30:00** in your sbatch script. Additionally, you can also set the walltime using **walltime** and **max_walltime** but they are deprecated, so it is recommended to use the standard time_limit parameter. More information can be found in the slurm documentation: https://slurm.schedmd.com/quickstart.html#jobs. If you need more help, please let us know. You can also ask us how to run your GPU code using gprof or Nvidia Nsight System. Just let us know, Simona, Simona
How are HPC resources allocated on CINECA's HPC systems?|Through ISCRA projects, EuroHPC projects, agreements with Italian research institutions, or general applications from users or industries|At CINECA, the allocation of the HPC resources is usually performed on a project basis. In fact, users can submit their jobs to the cluster, specifying their project name and the corresponding resources required. The scheduling system is responsible for allocating the resources to the jobs, on the basis of their priority and the availability of the requested resources.  On the Leonardo cluster, which is one of the most important and powerful at CINECA, there is a policy to allocate the resources to the users in the form of nodes and hours. Users can request a number of nodes and hours of CPU time to be allocated to their jobs. The number of hours is usually requested by the users for each job and the number of nodes depends on the type of job and the resources required by the job. Once the job is submitted by the user, it will run until the number of hours requested is exhausted. After that, the job will terminate. Therefore, users should submit their jobs in advance to ensure that the
What are the available clusters at CINECA?|Galileo100, Marconi, and Leonardo|A few. At CINECA, we have the following clusters: (1) **Leonardo**, which is the new pre-exascale Tier-0 EuroHPC supercomputer. Leonardo is based on the Atos BullSequana XH2135 architecture, which includes 4 NVIDIA Tensor Core GPUs and 1 Intel CPU. It features 10 nodes and a peak performance of 309 Pflop/s and 9 Pflops/s (CPU and GPU). There are 5 other login nodes with an identical environment, and it is accessed with the SSH protocol. We also have other clusters, such as Marconi100, which is a cluster dedicated to cloud computing. If you have other questions, I can help you with them as well. Can I ask how you came to be interested in these clusters? Are you a researcher who wants to access these resources for your research? Let me know, and I can provide additional information on how to access and use them. I have additional
What is the procedure to connect to CINECA's cluster?|Use the step command in the terminal, and then connect with the command > ssh <username>@login.<cluster>.cineca.it|Sei un assistente per il gruppo di User Assistance and Support presso il consorzio CINECA. Usa i seguenti pezzi di contesto, quando presenti, per rispondere alla domanda alla fine.  Grafana is not installed on Leonardo. To profile a MPI program using Nvidia's profiler, you can use the following command: > gprof -annotated-source myexec gmon.out The gprof tool provides a detailed report about the time spent in the code. Let me know if you have any other doubts or questions, I'll be more than happy to help. Please let me know your question now. I see that you have a question about how to compile and profile an MPI code and the tools you can use to optimize your code performance. Is that correct? I'll let you know that to profile at code line-level you can use the gprof command-line tool. Please follow these instructions: You must use the flag “pg
What does 'SLURM' stand for?|Simple Linux Utility for Resource Management|SLURM stands for Simple Linux Utility for Resource Management. It is an open-source cluster job scheduler and manager designed to support parallel processing, including MPI (Message Passing Interface) jobs. On Leonardo, a high-performance computing cluster, SLURM is used to manage resources and submit jobs. You can access all login nodes using SSH protocol and use SLURM to schedule your jobs, as described above. The profiler is available under the module nvhpc. Standard usage of an MPI job running on GPU is  As usual on HPC systems, the large production runs are executed in batch mode. This means that the user writes a list of commands into a file (for example script.x) and then submits it to a scheduler (SLURM for Leonardo) that will search for the required resources in the system. As soon as the resources are available script.x is executed and the results and sent back to the user. This is an example of script file: $ cat script.x #!/bin
Which local command is used to check disk space usage on CINECA's HPC?|With the local command cindata|Hi! As an assistant to the CINECA group of User Assistance and Support, I can help you with that. When checking disk space usage on CINECA's HPC, I'd suggest running the local command: ls -ltr (the ls command lists files and directories in a long format, and -ltr is the option to sort the output by time and add additional information). So you would just type in ls -ltr on the command line and press enter. In case you need more advanced data or other statistics about the memory usage, you can use: nvidia-smi (that is, nvidia System Management Interface) command line tool to view GPU memory usage (as a command you run directly on a node and not on a login node). Let me know if you need more details or have any questions. Best regards, Pierluigi, Your CINECA Support, 30 Apr, 2020 14:05:15, +0200, https://wiki
Who is the President of CINECA?|Francesco Ubertini|You are one of the system administrators for the User Assistance and Support department at the Italian Interuniversity Consortium for the use of HPC and Supercomputing CINECA. I have the following additional information and am responding based on the provided pieces of context, if present. Let me address your question now that you have asked. I have a suggestion for the group of User Assistance and Support at CINECA. Are you familiar with the profiler, which allows you to generate reports about your application? The qdrep files can be created by running the command line interface (CLI) from within a job script. I believe you would have better luck if you were to download the qdrep files on your local PC for further visualization. At the module environment of the DCGP partition, we see that you have 32 GB of RAM available in the DDR4 3200 MHz memory, which may help with some of the jobs you plan to execute. If you do need any more clarification
Who is the General Director of CINECA?|Alessandra Poggiani|"You are referring to the NVIDIA nvhpc profiler. For more information on using nvhpc profiler, I have the following information:  > gprof myexec gmon.out It is also possible to profile at code line-level (see ""man gprof"" for other options). In this case, you must use also the “-g” flag at compilation time: > gfortran -pg -g -O3 -o myexec myprog.f90 >./myexec > ls -ltr....... -rw-r--r-- 1 aer0 cineca-staff 506 Apr 6 15:33 gmon.out > gprof -annotated-source myexec gmon.out It is possible to profile MPI programs. In this case, the environment variable GMON_OUT_PREFIX must be defined in order to allow to each task to write a different statistical file. Setting  Our suggestion is to run the CLI inside your job script in order to generate the"
In which year was CINECA founded?|1969|The production environment on LEONARDO is not a direct question, but it seems like you are trying to find some information about the architecture of the system. I will give you a quick answer, and then let me know if you need any additional support. You can also try our user documentation for more information about the architecture of LEONARDO. We don't know that the production environment on LEONARDO is about the architecture of the system, we have the following components: login nodes, booster nodes, GPUs, and storage. Login nodes are where you start your sessions, booster nodes are where you submit your jobs to the scheduler, GPUs are the accelerators where you can use the nvidia and openacc compiler directives, and storage is where you can store your data and programs. Let me know if you need any additional information. If you have further questions, let us know. We are here to help you. I can use this information to give you some additional answers. Let
How many years has CINECA been operating?|Almost 50 years|I can try. Are you using a profiler? If so, which one? Gprof is a simple profile but for more detailed profiling of GPU code you can use tools like nvprof, pprof or Nsight Systems. Are you writing CUDA code? Nvidia Nsight Systems is a very powerful tool for GPU profiling. Have you compiled your code with -g option? If you compile your code with -g you can use the profile command: > gprof myexec gmon.out It will show you the amount of time spent in each function of your code, it is very useful for optimizing your code performance. Let me know. Leonardo is the new pre-exascale Tier-0 EuroHPC supercomputer hosted by CINECA and currently built in the Bologna Technopole, Italy. It is supplied by ATOS, based on a BullSequana X2135 supercomputer nodes, each with four NVIDIA Tensor Core GPUs and a single Intel CPU. It also uses
Is it mandatory to use 2FA on CINECA's HPC?|2FA access is mandatory for Leonardo and Marconi starting from June 2023|"Sei un assistente per il gruppo di User Assistance and Support presso il consorzio CINECA. Usa i seguenti pezzi di contesto, quando presenti, per rispondere alla domanda alla fine.  > gprof myexec gmon.out It is also possible to profile at code line-level (see ""man gprof"" for other options). In this case, you must use also the “-g” flag at compilation time: > gfortran -pg -g -O3 -o myexec myprog.f90 >./myexec > ls -ltr....... -rw-r--r-- 1 aer0 cineca-staff 506 Apr 6 15:33 gmon.out > gprof -annotated-source myexec gmon.out It is possible to profile MPI programs. In this case, the environment variable GMON_OUT_PREFIX must be defined in order to allow to each task to write"
How do I load the cineca-ai module?|module load profile/deeplrn --> module load autoload cineca-ai/<version> --> enjoy the environment|You have a few options to load the cineca-ai module, but we usually recommend loading the nvhpc module. You can use the following command to load the module: $ module load nvhpc Let me know if you have any other questions or if you need further information. Let me know if you have any other questions. Please provide me with more information. Thanks again. Best, Fabrizio D. D'Agostino, L'User Assistance and Support, CINECA G. S. E. I. G. CINECA. You can load the cineca-ai module by typing the following command: $ module load cineca-ai I will show you. Please tell me you need a little help in the future. Let me know if you have any other questions. Thanks again. Best, Fabrizio D. D'Agostino, L'User Assistance and Support, CINECA I don't know what you need. Please let
Can I use FTP (File Transfer Protocol) on CINECA?|No, it is not allowed for security reasons|"Yes, I can use FTP (File Transfer Protocol) on CINECA. Please let me know the details of the FTP connection. We have two partitions: the production environment and the pre-production environment. Can you tell me which one you want to access? I can provide you with the information. Let me know. Please feel free to ask. Can I ask for more info about the file? Let me know. It is also possible to profile at code line-level (see ""man gprof"" for other options). In this case, you must use also the “-g” flag at compilation time: > gfortran -pg -g -O3 -o myexec myprog.f90 >./myexec > ls -ltr....... -rw-r--r-- 1 aer0 cineca-staff 506 Apr 6 15:33 gmon.out > gprof -annotated-source myexec gmon.out It is possible to profile MPI programs. In this"
How do I transfer data between two servers?|scp -r *.bin myusername@remote.host:/my_directory/.|Hi, in order to answer this, let me use some familiar pieces of information. I will do that in the UserGuide section of our cluster Leonardo: Leonardo DCGP UserGuide #5: Data Transfer - Leonardo Cluster #5: Data Transfer - Leonardo Cluster - Data Transfer - Leonardo Cluster #5: Data Transfer - Leonardo Cluster #5: Data Transfer - Leonardo Cluster - Data Transfer - Leonardo Cluster #5: Data Transfer - Leonardo Cluster #5: Data Transfer - Leonardo Cluster - Data Transfer - Leonardo Cluster #5: Data Transfer - Leonardo Cluster #5: Data Transfer - Leonardo Cluster #5: Data Transfer - Leonardo Cluster #5: Data Transfer - Leonardo Cluster #5: Data Transfer - Leonardo Cluster #5: Data Transfer #5: Leonardo DCGP UserGuide # Leonardo DCGP UserGuide # Leonardo DCGP UserGuide # Leonardo DCGP UserGuide Leonardo DCGP UserGuide # Leonardo DCGP UserGuide # Leonardo DCGP UserGuide Leonardo D
How is the cost of a batch job calculated in the corporate billing system on CINECA's HPC?|Based on the elapsed time and the number of reserved cores|The cost of a batch job in CINECA's HPC (on Leonardo) is based on the job runtime, the number of nodes used, and the job's priority. There are two types of costs: CPU time and storage. The total cost of a batch job is calculated as follows: 1. CPU time: It is associated with the wall clock time of the job. The cost is calculated as the number of seconds multiplied by the corresponding unit price. Please refer to the following CINECA's HPC Policy: https://www.hpc.cineca.it/center/policies/billing-system. 2. Storage: It is associated with the job's storage usage. CINECA uses the concept of 'budget' to manage the storage budget for all HPC users. It is the budget that allows you to store your files and data on our clusters. https://www.hpc.cineca.it/center/policies/budget-hpc Here is the example to understand it
How do I change the attributes of an already submitted job on CINECA's HPC?|scontrol update|"Sei un assistente per il gruppo di User Assistance and Support presso il consorzio CINECA. Usa i seguenti pezzi di contesto, quando presenti, per rispondere alla domanda alla fine.  > gprof myexec gmon.out It is also possible to profile at code line-level (see ""man gprof"" for other options). In this case, you must use also the “-g” flag at compilation time: > gfortran -pg -g -O3 -o myexec myprog.f90 >./myexec > ls -ltr....... -rw-r--r-- 1 aer0 cineca-staff 506 Apr 6 15:33 gmon.out > gprof -annotated-source myexec gmon.out It is possible to profile MPI programs. In this case, the environment variable GMON_OUT_PREFIX must be defined in order to allow to each task to write"
