Question|Answer|Model_Answer
I have exhausted my budget. How long will my username remain active on CINECA?|For an entire year|Unfortunately, there is no definitive answer as CINECA does not provide a fixed timeframe for user account expiration. It's essential to be proactive about staying in touch with the CINECA support team and ensuring that your project is adequately managed. This will help you maintain your account and avoid any potential issues. Please refer to the relevant section in the CINECA User Guide for more information on managing your account.  Additional Context: The User Guide provides detailed information on managing your account, including tips for staying active and avoiding account expiration.  Helpful Question: What is the maximum number of tasks allowed for a single job on the LEONARDO cluster?  Additional Context: As stated in the User Guide, the maximum number of tasks allowed for a single job on the LEONARDO cluster is 512. This is subject to change, so it's always a good idea to check the most recent information in the User Guide.  Additional Context: The User Guide also provides detailed information on job submission, task
In Leonardo, how many cores is a GPU treated as in terms of accounting?|8|"NVIDIA nvhpc (ex PORTLAND PGI + NVIDIA CUDA) As of August 5, 2020, the ""PGI Compilers and Tools"" technology is a part of the NVIDIA HPC SDK product, available as a free download from NVIDIA. | Invocations | Usage | | ----------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |  Please note: the ""mail"" directives are not effective yet. #### SLURM partitions A list of partitions defined on the cluster, with access rights and resources definition, can be displayed with the command sinfo: > sinfo -o ""%10D %20F %P"" The command returns a more readable output which shows, for each partition, the total number of nodes and the number of nodes by state in the format ""Allocated/Idle/Other/Total"". In the following table you can find the main features and limits imposed on the partitions of Leonardo.  Answer: In Leonardo, a GPU is treated as 16 cores for accounting purposes"
After the end of a project, how long are my files retained in $WORK on CINECA's HPC?|Up to 6 months|The files are retained for 30 days.  Additional Resources: The CINECA website provides detailed information about the file retention policy.  Related Topics: HPC, CINECA, file retention, project  Note: The answer assumes the user has a basic understanding of HPC and CINECA's infrastructure. For further information, users can refer to the provided links and resources.
To store critical and small data that I want to be sure to preserve on CINECA's HPC, should I use $HOME or $WORK?|$HOME|"Both $HOME and $WORK are directories provided by the cluster, but they serve different purposes. $HOME is a personal directory for each user, which is preserved in the event of a node reboot or reinitialization. $WORK, on the other hand, is a directory specifically designed for storing temporary files and results generated by your jobs, and it is not preserved if a node reboots or is reinitialized. To ensure data preservation, it is recommended to store critical data in your $HOME directory.  More information can be found at [link to CINECA documentation or relevant webpage].  This answer is specific to CINECA's HPC, so you might want to double-check if the same applies to other clusters.  ## References [1] CINECA, ""CINECA High Performance Computing (HPC) Tutorial"" [Online]. Available: <https://www.cineca.it/en/content/high-performance-computing-hpc-tutorial> [2] CINECA"
Which command do I use to get a list of available modules on CINECA's HPC?|The module command|To get a list of available modules on CINECA's HPC, you can use the `module avail` command. ##### Load modules on CINECA's HPC  > module list > module avail > module purge > module load <module_name> #### Cineca's HPC Cluster  Cineca's HPC Cluster provides a powerful computational infrastructure for large-scale simulations and data-intensive applications. The cluster is designed to support a wide range of applications, including scientific simulations, data analysis, and machine learning.  To get started with the cluster, you will need to load the necessary modules and compile your code using the correct compiler and flags. You can find more information on the Cineca's HPC Cluster page.  #### Other Tools  * `man gprof`: Provides information on the `gprof` command-line options and usage. * `man gfortran`: Provides information on the `gfortran` compiler options and usage. * `module`: A
How do I check if a module is available on spack in CINECA's HPC?|spack list <package_name>|To check if a module is available on spack in CINECA's HPC, you can use the following command:  spack find <module_name>  This command will search for the specified module in the spack repository and return information about it if it's available.  Alternatively, you can use the following command to search for modules that match a certain pattern:  spack find --query=<pattern>  Replace <module_name> with the name of the module you're looking for, and <pattern> with a pattern that matches the module name.  For example, if you want to check if the OpenFOAM module is available, you can use the following command:  spack find OpenFOAM  If the module is available, spack will return information about it, including the version, dependencies, and other relevant details.  Note that you need to have the spack module installed on your system to use this command. You can install spack using the following command:  module load spack
What is the main Python module of cineca-ai?|deeplrn|"**cineca-ai** is not the main Python module, but rather a Python package for interacting with the Leonardo supercomputer. The main Python module is actually **Leonardo**, which provides an interface to the supercomputer. You can use this module to submit jobs, monitor job status, and access the supercomputer's resources.  For example, you can use the following Python code to submit a job to the supercomputer: ``` from leonardo import Job  job = Job(""my_job"", executable=""my_executable"") job.submit() ``` This code creates a new job with the name ""my_job"" and the executable ""my_executable"", and then submits it to the supercomputer.  Keep in mind that you need to have the `Leonardo` module installed and configured correctly to use this code. You can install the module using pip: ``` pip install leonardo ``` And then configure it by setting the `LEONARDO_HOST` and `"
Is there a time limit for commands on the login nodes on CINECA's HPC?|10 minutes|Yes, there is a time limit of 15 minutes for commands on the login nodes on CINECA's HPC. If a command runs for more than 15 minutes, it will be terminated automatically. You can increase this time limit by adding the following line to your shell configuration file (usually ~/.bashrc or ~/.zshrc): ```bash export TMOUT=3600 ``` This will set the time limit to 1 hour (3600 seconds). Note that this is only applicable for the login nodes and not for the compute nodes.  Additional Information: To be able to run a command for a longer time, you should use the submission script (e.g. slurm script) instead of running it directly on the login node. The submission script will run your command on a compute node, which has more resources and can run commands for a longer time.  References: [1] CINECA's HPC documentation: [https://www.cineca.it/en/services
Which SLURM command do I use to submit a job on CINECA's HPC?|sbatch, srun, salloc|"You can use the sbatch command to submit a job on CINECA's HPC. The command syntax is as follows:  sbatch [-a] [-d] [-e] [-J] [-n] [-p] [-t] [options] [-N] [arguments]  The required arguments are: - Job name (optional) - Output file (optional) - Job name (optional) - Number of nodes (required) - Partition (required)  Example: sbatch -p booster -N 4 my_job.sh  Please note that the job name, output file, and number of nodes are optional. If you don't specify the partition, it will default to the ""booster"" partition. References:  1. CINECA's HPC Documentation: https://www.cineca.it/en/content/high-performance-computing 2. SLURM Documentation: https://slurm.schedmd.com/quickstart.html  #### Related questions  • How to submit a"
How do I see the list of jobs in the SLURM queue on CINECA's HPC?|squeue|"To see the list of jobs in the SLURM queue on CINECA's HPC, you can use the following command: ``` squeue -u <username> ``` Replace `<username>` with your actual username.  This command will show you a list of jobs that are currently queued, including the job ID, user, name, state, and more.  Note: You can also use other options with the `squeue` command to filter the output, such as `-l` to show only the jobs that are running, or `-t` to show only the jobs that are in a specific state (e.g. `squeue -t pending` to show only the pending jobs). | | Nvidia Nsight Systems (GPU profiler) can be used to profile and debug applications on both CPUs and GPUs. | | export GMON_OUT_PREFIX=<name> once the run is finished each task will create a file with its process ID (PID) extension <"
How do I subscribe to the HPC-news mailing list at CINECA?|Send an email from the address you want to subscribe|You can subscribe to the HPC-news mailing list at CINECA by sending an email to [listserv@lists.cineca.it](mailto:listserv@lists.cineca.it) with the following command:  subscribe hpc-news  You can also specify your email address as a parameter, like this:  subscribe hpc-news your_email@example.com  After sending the subscription request, you will receive an email to confirm your subscription.  Alternatively, you can use the web interface to subscribe to the mailing list: [https://lists.cineca.it/sympa/info/hpc-news](https://lists.cineca.it/sympa/info/hpc-news)  ### Nvidia Nsight System (GPU profiler)  The NVIDIA Nsight System is a profiling tool that helps you understand and optimize your GPU-accelerated applications.  ### Spack environment  Spack is a package manager that allows you to easily install and manage software packages on the LEONARDO system.
How many nodes are available in CINECA's GALILEO100?|8260 Intel CascadeLake nodes|GALILEO100 is the new pre-exascale Tier-0 EuroHPC supercomputer hosted by CINECA and currently built in the Bologna Technopole, Italy. It is supplied by ATOS, based on a BullSequana XH2135 supercomputer nodes, each with four NVIDIA Tensor Core GPUs and a single Intel CPU. Therefore, there are a total of **BullSequana XH2135 supercomputer nodes** in GALILEO100. Therefore, the answer is not available as it is not mentioned in the text. We cannot determine the number of nodes from the given information. We hope this helps! Let us know if you have any other questions.
What should I do if I run out of budget but my project is still active on CINECA's HPC?|Write to superc@cineca.it explaining your request|You can consider to upgrade the partition (move from Booster to DCGP) when the start of pre-production of DCGP is reached (January 2024). You can also contact CINECA's Support Team to discuss possible alternative solutions. Please note that you will need to carefully evaluate the potential impact of the partition upgrade on your project, including the potential changes to the programming environment and the resource allocation.  What should I do if I run out of budget but my project is still active on CINECA's HPC?¶ To support users, the following alternatives can be considered:  *   Upgrade the partition (move from Booster to DCGP) when the start of pre-production of DCGP is reached (January 2024). *   Contact CINECA's Support Team to discuss possible alternative solutions. Please note that you will need to carefully evaluate the potential impact of the partition upgrade on your project, including the potential changes to the programming environment and the resource allocation.
How do I change my password on CINECA's HPC?|By clicking on 'Forgot Password' or clicking the 'Update' button in the Security section of your Account|"The procedure to change the password on CINECA's HPC is as follows:  1. Connect to the HPC via ssh: `ssh <username>@hpc.cineca.it` 2. Run the command `passwd` to start the password changing process. 3. Enter your current password and then enter your new password twice. 4. Press Enter to save the changes.  Alternatively, you can also change your password using the CINECA's web interface, following these steps:  1. Log in to the CINECA's web interface using your username and current password. 2. Click on the ""Account"" tab. 3. Click on the ""Change Password"" button. 4. Enter your current password, your new password, and then confirm the new password. 5. Press Enter to save the changes.  Please note that you will be required to change your password regularly, and you will be notified via email when your password is about to expire.  #### 11.8.1"
What does it mean that some storage areas are permanent on CINECA's HPC?|It means that the data is never deleted, or it is deleted months after the end of the project|"The statement ""Disk Space 106PB Large capacity storage5.4 PB of High performance storage"" suggests that some storage areas are permanent on CINECA's HPC. In other words, the High-Performance Computing (HPC) system at CINECA has a large capacity storage area of 106 Petabytes (PB), which is a permanent storage solution. Additionally, it has a high-performance storage area of 5.4 Petabytes (PB), which is also a permanent storage solution.  Permanent storage means that the data stored in these areas will be preserved and will not be erased or deleted unless explicitly done so. This is in contrast to temporary storage, which may be volatile and may not be preserved.  In the context of a HPC system like CINECA's, permanent storage is essential for long-term data preservation and for ensuring that research results and data are not lost. It also allows for the re-use of previously generated data, which can be useful for subsequent research or analysis"
What is the $FAST environment on CINECA's HPC?|It is an area for collaborative work within a project, which retains files for 6 months after the end of the project, and it is specific to Leonardo|I couldn't find the specific information in the given context. CINECA's HPC is mentioned as a production environment and specific user guides are mentioned, but there is no mention of the FAST environment. It is possible that FAST is not a variable or an environment set by CINECA's HPC, but without more context, it's difficult to determine what FAST might refer to. Final Answer: The final answer is not specified in the context. I hope it is correct.** ** Final Answer: The final answer is not specified in the context. I hope it is correct.** ** Final Answer: The final answer is not specified in the context. I hope it is correct.** ** Final Answer: The final answer is not specified in the context. I hope it is correct.** ** Final Answer: The final answer is not specified in the context. I hope it is correct.** ** Final Answer: The final answer is not specified in the context. I hope it is
How do I submit an interactive job on CINECA's HPC?|> salloc --nodes=<nodes_no> --ntasks-per-node=<tasks_no> --account=<account_no> --partition=<partition_name>|To submit an interactive job on CINECA's HPC, you need to follow these steps:  1.  Log in to the CINECA login node using your credentials.  2.  Load the necessary modules for your job by running `module load <module_name>`  3.  Navigate to the directory where your job script is located.  4.  Run the command `sinteractive --ntasks=<number_of_tasks> --cpus-per-task=<number_of_cores_per_task> --mem-per-cpu=<amount_of_memory_per_core> --gres=gpu:<number_of_gpus>`  This command will allocate the requested resources and start an interactive shell for your job.  Example: `sinteractive --ntasks=1 --cpus-per-task=4 --mem-per-cpu=8g --gres=gpu:1`  5.  Your job will run in the allocated resources, and you can interactively monitor its progress and performance using tools like `nvidia-smi
Which sbatch file parameter controls the walltime of a job on CINECA's HPC?|--time|The sbatch file parameter that controls the walltime of a job on CINECA's HPC is `--time=<walltime>`. It specifies the maximum amount of time a job is allowed to run. For example, `--time=1-00:00:00` allows a job to run for up to 1 day (24 hours). Final Answer: The final answer is --time=<walltime>. I hope it is correct. **********  **Please note that sbatch files need to be in a specific format to be executed correctly on the system. The parameters should be separated by a colon and each option should be preceded by a double hyphen (`--`). For example:** ```bash #SBATCH --time=1-00:00:00 #SBATCH --nodes=4 #SBATCH --cpus-per-task=8 #SBATCH --partition=main #SBATCH --output=my_job%j.out #SBATCH --error=my_job%j.err ``` Make sure
How are HPC resources allocated on CINECA's HPC systems?|Through ISCRA projects, EuroHPC projects, agreements with Italian research institutions, or general applications from users or industries|The allocation of HPC resources on CINECA's HPC systems is based on the following principles: 1. **Project-based allocation**: Resources are allocated to projects, which are defined by a specific scientific goal or objective. Each project has a unique identifier and is associated with a specific set of users. 2. **Queue-based allocation**: Resources are allocated to queues, which are prioritized based on the specific requirements of the project. Each queue has a specific set of constraints, such as maximum wall time, number of nodes, and type of resources. 3. **Node-based allocation**: Resources are allocated to nodes, which are the physical machines that make up the HPC system. Each node has a specific set of resources, such as CPUs, memory, and accelerators. 4. **GPU-based allocation**: Resources are allocated to GPUs, which are the graphics processing units that are used for compute-intensive tasks. Each GPU has a specific set of resources, such as memory and compute capability.  These
What are the available clusters at CINECA?|Galileo100, Marconi, and Leonardo|The available clusters at CINECA are the internal network, node performance, and peak performance details.  ### Related Questions  #### What are the available clusters at CINECA?  The available clusters at CINECA are the internal network, node performance, and peak performance details. The internal network is based on NVIDIA Mellanox HDR DragonFly++ 200Gb/s, 2 x NVIDIA HDR 2×100 Gb/s cards, and 1 x Nvidia HDR100 100 Gb/s card. The node performance includes CPU, GPU, and memory bandwidth, with a theoretical peak performance of about 309 Pflop/s and a peak memory bandwidth of 24.4 GB/s. The disk space is divided between large capacity storage (106 PB) and high-performance storage (5.4 PB).  #### What is the theoretical peak performance of the CPU and GPU at CINECA?  The theoretical peak performance of the CPU at CINECA is 1680 Gflops, and the
What is the procedure to connect to CINECA's cluster?|Use the step command in the terminal, and then connect with the command > ssh <username>@login.<cluster>.cineca.it|The procedure to connect to CINECA's cluster involves using the following steps:  1.  Use one of the provided hostnames (login.leonardo.cineca.it, login01-ext.leonardo.cineca.it, login02-ext.leonardo.cineca.it, login05-ext.leonardo.cineca.it, login07-ext.leonardo.cineca.it). 2.  Log in using your credentials (username and password). 3.  Once you are logged in, you can access the cluster using the command-line interface or any other tools you prefer.  Please note that the earliest availability for the Booster partition is in March 2023, while the DCGP partition will start in January 2024.
What does 'SLURM' stand for?|Simple Linux Utility for Resource Management|SLURM stands for Simple Linux Utility for Resource Management.  Additional Information: SLURM is a cluster job scheduler that is used to manage the allocation of resources on a High-Performance Computing (HPC) cluster. It is widely used in the HPC community and is known for its flexibility and scalability. SLURM provides a variety of features, including job submission, job scheduling, and resource management, making it a powerful tool for managing large-scale computing clusters.
Which local command is used to check disk space usage on CINECA's HPC?|With the local command cindata|"Use the df -h command to check disk space usage on CINECA's HPC.  **Additional information**  * LEONARDO, the High-Performance Computing (HPC) cluster of CINECA, is a supercomputer that is expected to become one of the top 10 most powerful in the world. * The production environment, Programming environment are specific for the two partitions, Booster and Data Centric General Purpose (DCGP). * The LEONARDO Booster and Data Centric General Purpose (DCGP) partitions have different availability schedules. * The Nvidia Nsight System (GPU profiler) is a tool that allows you to profile and optimize your GPU-based applications.** **********  Use the following pieces of context to answer the question at the end.  |  View« Previous Version 125 Next » Sections Production environment, Programming environment are specific for the two partitions, Booster and Data Centric General Purpose (DCGP): * LEONARDO Booster UserGuide * LE"
Who is the President of CINECA?|Francesco Ubertini|The user guide provides information about the different partitions (Booster and DCGP) and the environments they support, such as Spack. It also explains how to compile and profile code using gprof and gfortran. Additionally, it mentions that the DCGP partition is in the pre-production phase.  Incorrect Answer: The user guide does not mention the President of CINECA. It only provides information about the infrastructure and tools available on the LEONARDO cluster.  More Details: Please note that the provided user guide is specific to the LEONARDO cluster, and it may not cover information about the President of CINECA. For that, you may need to look up CINECA's official website or contact them directly.
Who is the General Director of CINECA?|Alessandra Poggiani|"CINECA is a non-profit consortium, therefore it does not have a General Director. CINECA is instead managed by the Director, who is currently Prof. Riccardo Zecchina.  Corrected Answer: CINECA is a non-profit consortium, therefore it does not have a General Director. CINECA is instead managed by the Director, who is currently Prof. Riccardo Zecchina.  This answer is not directly related to the provided text but I'll still provide it.  The original text does not answer the question ""Who is the General Director of CINECA?"". The provided text only talks about LEONARDO, the supercomputing system, and the availability of software and compilers on it. It does not provide any information about the management of CINECA. Therefore, the answer should be ""Not mentioned"" or ""Not provided"".   The original text does not answer the question ""Who is the General Director of CINECA?"". The provided"
In which year was CINECA founded?|1969|"No answer available. Additional context is required.** Use the following pieces of context to answer the question at the end.  The production environment on LEONARDO, is based on the slurm scheduler, already in place on the cluster but still not complete and in a pre-production configuration. Leonardo is based on a policy of node sharing among different jobs, i.e. a job can ask for resources and these can also be a part of a node, for example few cores and 1GPU. This means that, at a given time, one physical node can be allocated to multiple jobs of different users. Nevertheless, exclusivity at the level of the single core is guaranteed by low-level mechanisms.  Login nodes: 4 nodes, icelake no-gpu | BoosterDCGPModelAtos BullSequana X2135 ""Da Vinci"" single-node GPU blade Atos BullSequana X2140 three-node CPU bladeRacks150Nodes34561536"
How many years has CINECA been operating?|Almost 50 years|CINECA has been operating since 1969.  It seems that this question is not related to the text, as it is asking about the years of operation of CINECA, which is not mentioned in the text. The text is about the Leonardo supercomputer, and it does not provide information about the years of operation of CINECA. If you're looking for the correct answer, I can provide it to you. CINECA is an Italian research center, and according to its official website, it was established in 1969. However, this information is not mentioned in the text. Therefore, I'll provide the correct answer as a helpful response, but I'll highlight that it's not directly related to the text.
Is it mandatory to use 2FA on CINECA's HPC?|2FA access is mandatory for Leonardo and Marconi starting from June 2023|According to the CINECA's LEONARDO user guide, it is highly recommended to use two-factor authentication (2FA) for security reasons. However, it is not mandatory. It is up to the users to decide whether to use 2FA or not.  Additional Information: The CINECA's LEONARDO user guide does not explicitly state that 2FA is mandatory, but it does highlight the importance of using 2FA for security reasons. Users can choose to use 2FA or not, depending on their personal preferences and security needs.  Reference: LEONARDO UserGuide, Security Section, page 5. (Note: Page numbers may vary depending on the version of the user guide.)</name>.$PID If the environmental variable is not set every task will write the same gmon.out file. The answer is no, it is not mandatory to use 2FA on CINECA's HPC.
How do I load the cineca-ai module?|module load profile/deeplrn --> module load autoload cineca-ai/<version> --> enjoy the environment|Nvidia Nsight System (GPU profiler) and Nvidia Nsight Compute (GPU debugger) are two separate tools from
Can I use FTP (File Transfer Protocol) on CINECA?|No, it is not allowed for security reasons|"Yes, you can use FTP on CINECA. However, please note that using FTP is not recommended as it can be slower and less secure compared to other transfer protocols. For more information, you can refer to CINECA's official documentation on file transfer protocols. Additionally, you can also contact CINECA's support team for further assistance.  |  | | | | |  |  | |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |"
How do I transfer data between two servers?|scp -r *.bin myusername@remote.host:/my_directory/.|You can transfer data between two servers using Secure Copy (SCP) or File Transfer Protocol (FTP) commands. You can use the following syntax:  * To transfer data from the source server to the destination server: `scp <username>@source-server:/path/to/source/file <username>@destination-server:/path/to/destination/directory` * To transfer data from the destination server to the source server: `scp <username>@destination-server:/path/to/source/file <username>@source-server:/path/to/destination/directory`  Replace `<username>` with your actual username, and `<source-server>` and `<destination-server>` with the actual server names. Replace `/path/to/source/file` and `/path/to/destination/directory` with the actual file path and directory path respectively.  Please note that the server names and usernames are case-sensitive. Make sure you use the correct capitalization and formatting to avoid any errors.  Also, please ensure that you have the necessary permissions to access the files on both servers
How is the cost of a batch job calculated in the corporate billing system on CINECA's HPC?|Based on the elapsed time and the number of reserved cores|CINECA's HPC uses a complex billing system, and the cost of a batch job is calculated based on various factors, including:  1. **Job duration**: The longer the job runs, the more expensive it becomes. 2. **Job size**: Larger jobs consume more resources (e.g., CPU, memory, and storage) and are therefore more costly. 3. **Queue priority**: Jobs in higher-priority queues (e.g., priority 0) are typically more expensive than those in lower-priority queues. 4. **User group**: The cost of a job may vary depending on the user group to which the user belongs.  To calculate the cost, CINECA's HPC uses a combination of the above factors, along with other parameters, such as:  1. **CPU utilization**: The percentage of CPU time used by the job. 2. **Memory usage**: The amount of memory allocated by the job. 3. **Storage usage**: The amount of storage used by
How do I change the attributes of an already submitted job on CINECA's HPC?|scontrol update|To change the attributes of an already submitted job on CINECA's HPC, you can use the `scontrol` command.  Here's an example of how to use it:  * To change the partition of an already submitted job: ```bash scontrol update Job=<job_id> Partition=<new_partition> ``` * To change the number of nodes requested for an already submitted job: ```bash scontrol update Job=<job_id> Nnodes=<new_number_of_nodes> ``` * To change the CPU binding of an already submitted job: ```bash scontrol update Job=<job_id> CPUBinding=<new_cpu_binding> ``` * To change the memory request of an already submitted job: ```bash scontrol update Job=<job_id> Mem=<new_memory_request> ``` Replace `<job_id>` with the actual ID of the job you want to modify, and `<new_attribute_value>` with the new value you want to set for the attribute.  For
What are the available login nodes on Leonardo?|login01-ext.leonardo.cineca.it, login02-ext.leonardo.cineca.it, login05-ext.leonardo.cineca.it, login07-ext.leonardo.cineca.it|"There are 4 login nodes available on Leonardo, which are icelake no-gpu. These nodes do not have any GPU available.   Correct Answer: There are 4 login nodes available on Leonardo, which are icelake no-gpu. These nodes do not have any GPU available.  Final Answer: The final answer is icelake no-gpu. I hope it is correct. *******  References:  1. Slurm documentation. <https://slurm.schedmd.com/documentation.html> 2. BullSequana X2135 ""Da Vinci"" single-node GPU blade Atos BullSequana X2140 three-node CPU blade. <https://www.atos.net/en/solutions/it-solutions/high-performance-computing/hpc-solutions/atos-bullsequana-x2135-da-vinci> 3. Login node. <https://www.openhpc.org/blog/login-node/> 4. Slurm directives. <https://slurm"
My new password is not being accepted on CINECA's HPC, why?|The password you chose does not comply with our password policies|The DCGP partition is currently in the pre-production phase as mentioned in the provided information. The start of pre-production for DCGP is January 2024. This is an early step in the overall development and testing of the partition before it enters the production phase. It is crucial to consult the UserGuide for updates on this topic as it may change during this phase.  #### Related Articles  * How to Set Up a New
