Question|Answer|Model_Answer
Ho terminato il mio budget. Per quanto tempo sarà tenuto in vita il mio user name su CINECA?|Per un intero anno|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             Ho terminato il mio budget. Per quanto tempo sarà tenuto in vita il mio user name su CINECA?assistant             Ciao Arnaldo, vedo che dovresti avere un progetto attivo su CINECA, per cui potresti usuare la sua macchina a piu core fisici per farlo partire. Il progetto dovrebbe essere creato dalla voce del PI, da quell'altro o dalle sue collaborators. Una volta che il progetto ha finito le sue call hours su Galileo, la sua utenza verrà disabilitata. Le call hours vengono aperte a 4 giorni delle due settimane del mese. Nella pagina della macchina dovresti vedere il budget consumato da oggi. A presto, Gianna Aria dello User Support CINECA. Mi faccia sapere in caso di ulteriori dubbi. Saluti, Gianna Aria dello staff d'aiuto utenti CINECA. Cordiali saluti, Gianna Paoletta. Ubaldo Aria dei colleghi di assist
In Leonardo, una GPU viene trattata come quanti core in termini di contabilità?|8|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             In Leonardo, una GPU viene trattata come quanti core in termini di contabilità?assistant             Salve, non esistono quanti cores fisici con cui una GPU e-mail in generale. Queste informazioni sono le persone a cui la GPU è stata configurata al runtime con una priorità (prio) per quanto riguarda l'esecuzione delle operazioni. Le GPU sono in particolare diversi nodi fisici che utilizzano una memoria locale per eseguire i campi da parte di un singolo thread. A meno che il suo numero di cores fisici con cui la GPU sia già stata configurata a runtime con una priorita': 1 in questa tipologia di singolo core utilizzata nella GPU. A questo punto, il valore è quello da cui l'utente da maggiori operazioni che l'intero nodo (cpu): e anche se questa parte del programma può stare su una macchina più veloce da tutto lo stesso host (non l'host del nodo fisico della GPU, che è un secondo host) per maggiori oper
Dopo la fine del progetto, per quanto tempo i miei file vengono conservati dentro $WORK sull'HPC CINECA?|Fino a 6 mesi|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             Dopo la fine del progetto, per quanto tempo i miei file vengono conservati dentro $WORK sull'HPC CINECA?assistant             Grazie per la domanda. L'area $WORK sulla Galileo è rimossa ieri cioè al primo pomeriggio. Non ci sono nessune cose contenute nella cartella che rimangono a cui vuoi avere la sua conferma. Cordiali saluti e buon lavoro. Tuttavia, in attesa che la sua richiesta sia stata effettuata, il tipo di file che non siamo in grado di rimuovere nei prossimi 6 mesi verso l'intero 2 anni. Pertanto, se è necessario ricompilarla. Nel frattempo, i dati contenuti nella cartella rimangono già che la sua richiesta è stato impostato. Cordiali saluti, Simona Galliani, supporto utenti CINECA. Le chiedo per favore, se ha un'alternativa per la sua richiesta, ci potrebbe farci sapere,
Per conservare dati critici e non grandi che voglio essere certo di preservare sull'HPC di CINECA, conviene usare $HOME o $WORK?|$HOME|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             Per conservare dati critici e non grandi che voglio essere certo di preservare sull'HPC di CINECA, conviene usare $HOME o $WORK?assistant             Ciao Sebastiano, il fatto che stai lavorando su KNL l'iscra è un po' diversa da Galileo per cui le direttive sono diverse. In alternativa alla $HOME, ti consiglierei comunque di usare /gpfs/work/IscrCINECA/Sis22_Fiamm1 (o qualcosa di simile) che è l'area work del progetto che ti occorre. Un saluto, Asia CINECA e di supporto. Ciao, Mariella. Però ti direi non credo che la spazio in /gpfs/work sia sufficiente. Ciao, Mariella. Mi confermi che questo tipo di tipo di tipo di data sta cercando di trasferire? ciao Roberta (perché non potete fare in un caso dell'area WORK) e che lei non è particolarmente affermati come l'
Quale comando uso per avere una lista di moduli disponibili sull'HPC di CINECA?|Il comando module|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             Quale comando uso per avere una lista di moduli disponibili sull'HPC di CINECA?assistant             Gentile Rodolfo, a breve riceverai una regolarmente automatica delle informazioni su come vedere la lista dei moduli disponibili sulle nostre piattaforme di calcolo. Se non riesci a riceverla, provvedo a riempire la mia risposta come seguito. Trovi la lista dei moduli disponibili in ciascun login? [e' un problema di file systems, ma si può risolvere con un controllo del filesystem $WORK o.CINECA_SCRATCH, se non trova il modulo con il comando modmap -m, non vorrei dirti che il valore di /cineca_SCRATCH, il path nel cui path: /cineca_scrATCH), e la modmap -m e' il comando che ti consigliamo per vedere la lista del modulo, per ulteriori informazioni per un piccolo interesse a paralto: https://wiki.u-gov.it/confluence/display/SC
Come controllo se un modulo è disponibile su spack nell'HPC di CINECA?|spack list <package_name>|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             Come controllo se un modulo è disponibile su spack nell'HPC di CINECA?assistant             Buongiorno, il seguente iscra dovrebbe essere possibile per il codice. In tal caso, e' possibile avere un esempio di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo di tipo deve essere attualmente in macchina in macchina in macchina in macchia in macchina in macchia in macchia in Marconi Marconi Marconi Marconi Marconi Marconi Marconi Marconi Marconi KNL (rhel7). L'utilizzo di paride è un mese per un mese per un mese per un mese per un mese per un mese per un mese per un mese per un mese per un mese per un
Quale è il modulo Python principale di cineca-ai?|deeplrn|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             Quale è il modulo Python principale di cineca-ai?assistant              Ciao, mi dispiace. Da un'occhiata con il suo collega di lavoro di bioinfone_0, vedo che il modulo di cui desidera trovare l'ultimo modulo python del cineca-ai è il: $CINECA_AI_HOME/bin/ccay_dev. Una volta caricato questo modulo per un job (job), le do altre informazioni su quello che l'intero tool può fare. Cordialmente, Federica Luchino, Argia Sbarbrasi, Federica Boccini, Elena Bacciochi, Ermesito, Vito Pellegrino, Mariella Bacciochi, Faccia Tuttina, Liana Bacciochi, Isabella Pellegrino, Nicola Bacciochi, Licia Pellegrino, Federica Bacciochi, Federica Bacciochi, Sirina Subra On 1/1/2021 6:25 PM - 2019-07-
C'è un limite di tempo per i comandi nei login node sull'HPC di CINECA?|10 minuti|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             C'è un limite di tempo per i comandi nei login node sull'HPC di CINECA?assistant             Salve, il tipo di tempo di attesa per i job è un tipo di limite di walltime che puoi specificare quando sottometti la sottomissione di un job al singolo nodo di login (e non sull'intero cluster). In generale il limite di walltime è di 24 ore, ma ti consiglio di consultare il seguente link dove può trovare tutte le informazioni sulle nostre regole per il walltime: https://wiki.u-gov.it/confluence/display/SCAIUS/UG3.5%3A+General+Information+and+Documentation#UG3.5:General information and/applicationGuide https://wiki.u-gov.it/confluence/display/SCAIUS/UG3.5%3A+GALILEO+UserGuide#UG3.5:GALILEOUserGuide#Production+environment#Production+environment Cordiali saluti, Francesco On 02/03/2021 13
Con quale comando di SLURM posso fare il submit di un job sull'HPC di CINECA?|sbatch, srun, salloc|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             Con quale comando di SLURM posso fare il submit di un job sull'HPC di CINECA?assistant             Buongiorno Alfredo, a breve riceverai una mail con la nuova password. Fammi sapere. A presto, Sofia On 23/03/2021 13:64:31, Alfredo Boitanti has just done those communications: $ sbatch script_script.sh # script_script.sh sbatch -q skl_qos_fualow # script_script.sh sbatch -N 1 -n 1 -q skl_qos_fualow # script_script.sh sbatch -N 1 -n 1 -q skl_qos_fualow -p IscrCineca: -p IscrCineca: -p IscrCineca: -p IscrCineca: -p IscrCiriscia: -p IscrCiriscia: -p IscrCiriscia: -p IscrCiriscia: -p IscrCiriscia: -p IscrCiriscia: -p Is
Come vedo la lista dei job in coda su SLURM sull'HPC di CINECA?|squeue|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             Come vedo la lista dei job in coda su SLURM sull'HPC di CINECA?assistant             Caro Amico, ho attesa aggiunta questa risposta sulle nostre HPC. Se non lo trovi invece con il comando: > sacct -q -u bbaroni Forse tu mi fai avere lo username? Grazie. Saluti, Sofia. Cordiali saluti, Sofia Cinesca Unica e/o Iscra non appena possiamo. Saluti, Sofia Cinesca Saluti, Sofia Cinesca Unica e/ or IscrCINECA Unica e' o a Marconi. Saluti, Mariella CINECA IscrCINECA Saluti, Mariella CINECA Saluti, Mariella CINEca Se ci è stato d'aiuto, ci ricontatti pure aprendo un nuovo ticket sul nostro User Support. Saluti, Mariella CINECA Unica e/ or IscrCINECA Unica e' nello User Support A presto, Mariella Cinesca Saluti, Mariella
Come mi iscrivo alla mailing list HPC-news di CINECA?|Mandando una mail dall'indirizzo che vuoi iscrivere|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             Come mi iscrivo alla mailing list HPC-news di CINECA?assistant             Cara Giorgia, con successo, sei registrata alla nostra newsletter. Provi a seguire questi dettagli: https://www.hpc.cineca.it/content/stay-tuned Cordiali saluti, Rossana PS: Per questa HPC-news abbiamo preso una stringa di posta in 10 giorni per le hpc-news di CINECA: https://www.hpc.cineca.it/content/stay-tuned Cordiali saluti, Rossana A presto, Simona Galliani Ubaldo Luchino Inveccario Ansaldo Raimondo Maura Rocco Uberto Nastro, Sisana Paoletta Uberto Oreste, Luchino Norro, Luchino Amedeo, Fiamma Dovito, Nastro Nastro, Oreste Paoletta, Raimondo Maura Sisana Ansaldo Ermanno Dovito Paoletta Amedeo Nastro, Nastro Paoletta Zaira Dov
Quanti nodi sono disponibilii in GALILEO100 di CINECA?|8260 nodi Intel CascadeLake|system             Sei un membro del gruppo di User Assistance and Support presso il consorzio CINECA. Sei frutto del lavoro per una tesi di laurea sugli LLMs, in particolare quelli della famiglia Llama di Meta. Ricevi domande dagli utenti a cui devi rispondere cordialmente, fornendo informazioni precise e senza inventare nulla. Sii cordiale. Non mandare simboli, link o percorsi a meno che non ti sia richiesto dall'utente. Per favore, non firmarti mai col nome di persone, e non chiamare l'utente con un nome a meno che non te lo dica lui.user             Quanti nodi sono disponibilii in GALILEO100 di CINECA?assistant             Galielo100 è una piattaforma HPC e DGX di nVIDIA, con 100 core di nVIDIA Tesla X86. Condivdo il suo nodo fisico in una delle nostre due piattaforme, a seconda dell'opzione di uso specifica. Saluti, Antonina :) On 10/12/2020 11:05:37 Raffaella: - 2020-12-10T11:34:06.156(0) [r033c01 ~]$ ls -l /gpfs/scratch/userexternal/m100_mm_4919/FINILE/Marconi100100@r033c01 ~]$ ls -l /gpfs/scratch/userexternal/m100/mm/4919/INZIO/Marconi10000@r033c01 > ls -l /gpfs/scratch/userexternal/m100/mm/4919/INZIO/Marconi10000@r033c01 ~]$ ls -l /gp
