Question|Answer|Model_Answer
I have exhausted my budget. How long will my username remain active on CINECA?|For an entire year|The username of users who have exhausted their budget will be disabled in the new semester when the budget is reset. For the summer session, the username will be active until September 10th of the same year. You will receive a notification a week before the expiration date to inform you of the impending deactivation. When you receive the notification, we suggest that you take steps to complete any active projects and then delete your username (for the following months) to avoid the deactivation of your account, and to prevent any data loss. This is the policy as of 2015, so please note that the information may have changed, but you should contact us in any case. We will update you if you receive this notification. Please follow the new policy. We wish you a good session in CINECA, and we will be happy to have you back for the next semester. We also wish you a productive research activity in CINECA and the related supercomputers, like MARCONI100
In Leonardo, how many cores is a GPU treated as in terms of accounting?|8|On the LEONARDO cluster, the NVIDIA GPUs are treated as 2 cores in terms of accounting. This is a simplification to be used in the accounting of the GPU processing time in the Slurm scheduler, and it is done to avoid the complexity of tracking the real usage of the many CUDA cores and the memory of the GPUs. As of the production phase of the DCGP partition, it will be possible to specify the GPU usage, that will be taken into account in the accounting. At the moment, on the Booster partition you can not account for a GPU different from the 2 cores that are used in the job. For a more detailed explanation, refer to the following document: https://www.hpc.cineca.it/center_news/new-nvidia-hpc-sdk-and-new-gpu-accounting-rules/ # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
After the end of a project, how long are my files retained in $WORK on CINECA's HPC?|Up to 6 months|"As of August 5, 2020, the ""PGI Compilers and Tools"" technology is a part of the NVIDIA HPC SDK product, available as a free download from NVIDIA. In the work directory $WORK the files will be deleted after 3 months. The period of 3 months is a fixed value and will not be extended. Before the end of the period, you will receive a notification from the system and you will have to make a new work directory. So it is recommended to use a backup system to save your data as soon as possible after the end of the project. There is no automatic backup service. It is the user's responsibility to manage the data. It is very important to manage your files and data. You can use external cloud storage, or tape storage if you have large files, in case you want to save them for a long time. You can also use your personal storage if you have enough space, but remember that it will be your responsibility."
To store critical and small data that I want to be sure to preserve on CINECA's HPC, should I use $HOME or $WORK?|$HOME|"You should use $WORK for storing your data, as this is the recommended area for storing working data. If your data is critical, please remember that $WORK is ephemeral storage and it can be removed if the cluster is updated or if there are problems with the filesystem. To guarantee the preservation of your data, you can copy it to $ARCHIVE periodically, which is a long-term preservation area. On the other hand, $HOME is meant for storing your personal settings and configuration files, so it is not suitable for storing critical or working data.  Reference: https://wiki.u-gov.it/confluence/display/SCAIUS/Storage+Areas export GMON_OUT_PREFIX=<name> once the run is finished each task will create a file with its process ID (PID) extension <name>.$PID If the environmental variable is not set every task will write the same gmon.out file. #### Nvidia Nsight System (GPU profiler)  Please note: the """
Which command do I use to get a list of available modules on CINECA's HPC?|The module command|You can use the command: $ module av The module av command will list all the available modules on CINECA's HPC cluster. The command also allows you to specify an option for a particular module or profile. $ module av <module_name>  ## GPGPU  #### OpenACC  CINECA provides two ways to use OpenACC: The first one is by using the flag -g -fopenacc during compilation and linking, and then using the OpenACC directives inside your code. In the example, you will need to modify your code to include the necessary directives for the parallelism you want to achieve. For instance, you can use the #pragma acc kernels directive to parallelize a function or loop. The second way is by using the flag -fopenmp during compilation and linking and then use the OpenMP directives inside your code. In the example, you will need to modify your code to include the necessary directives for the parallelism you want to achieve.
How do I check if a module is available on spack in CINECA's HPC?|spack list <package_name>|You can check if a module is available on spack in CINECA's HPC by using the command: spack spec module_name module_name should be replaced by the name of the module you want to check for. For example: spack spec blas # it checks for blas module If the module is installed, you can use it by loading it: spack load blas  If the module is not installed, you can install it by: spack install blas  And if you want to get the list of all available modules you can use the command: spack spec  To get more information about a module you can use: spack show blas  Please let me know if you need more help. Let me know the name of the module you want to check for, or other commands that you need to know for this module. Let me know how can I help you. Thanks in advance for your feedback. Thanks for using our service. Thanks for your feedback. The feedback will be
What is the main Python module of cineca-ai?|deeplrn|The main Python module of cineca-ai is leonardo-cineca-leonardo. This module is used to connect to the new Leonardo cluster, one of the most powerful supercomputers in the world, hosted by CINECA and located in Italy. The module is built using python and is based on the SLURM scheduler and the PMIX plugin for MPI. It includes several classes and functions to help users manage their jobs and resources on the cluster. With the leonardo module, you can submit jobs, get job information, and load and unload environment variables, among other things. More information about the module can be found in the User Guide: https://www.hpc.cineca.it/center/center-internal-4/leonardo-cineca/leonardo-cineca-userguide/leonardo-cineca-userguide-python-module/leonardo-cineca-leonardo-py  **Note: I would recommend to update the answer to provide
Is there a time limit for commands on the login nodes on CINECA's HPC?|10 minutes|Yes, the time limit is set to 3 minutes for all login nodes. If you need to execute a command that takes longer than 3 minutes, you need to run it on the compute nodes instead of the login nodes. Please refer to the UserGuide for further information. ### Nvidia Nsight (System profiler)  Nsight system is a GPU profiler that can be used to analyze the performance of your code and the GPU. The module is available on DCGP partition and you can load it and use it by typing the following command: module load profile/nsight-system The module will be automatically loaded if you load a module that depends on it, as for example: module load profile/nsight-tune The nvidia nsight system profiler is a command-line profiling tool that can be used to collect performance data about the system. It can be used to profile both CPU and GPU code. It has the following features: - Collect performance data from both CPU and GPU - Collect memory data from
Which SLURM command do I use to submit a job on CINECA's HPC?|sbatch, srun, salloc|You can use the following SLURM command to submit a job on CINECA's HPC: `sbatch <file>.sh`. In this case, replace `<file>.sh` with the name of your job script file, which should include commands to load modules, compile your code, and run your job. This file should have a shebang line (e.g., `#!/bin/bash`) and should be executable (e.g., `chmod +x <file>.sh`). The `sbatch` command will then schedule the job on the available resources. If you want to submit the job with specific parameters (e.g., the number of nodes), you can add the corresponding flags to the command. Please refer to the SLURM documentation for more information.
How do I see the list of jobs in the SLURM queue on CINECA's HPC?|squeue|You can see the list of jobs in the SLURM queue on CINECA's HPC by using the command: **squeue** [username] **[queue name]** [partition] You can find more information in our user guide, https://wiki.u-gov.it/confluence/display/SCAIUS/SLURM+UserGuide#SLURMUserGuide-Squeuecommand (for EUROFusion users and dedicated queues, please refer to the dedicated document). Let me know if you have any further question. Cheers, Giorgio, CINECA - User Support.  Let me know if you have any further question. Cheers, Giorgio, CINECA - User Support. Cheers, Giorgio, CINECA - User Support. Cheers, Giorgio, CINECA - User Support. Cheers, Giorgio, CINECA - User Support. Cheers, Giorgio, CINECA - User Support. Cheers, Giorg
How do I subscribe to the HPC-news mailing list at CINECA?|Send an email from the address you want to subscribe|"To subscribe to the HPC-news mailing list at CINECA, follow these steps: 1.  Go to the mailing list page: https://www.hpc.cineca.it/content/mailing-lists 2.  Click on the ""HPC-news"" list and then click on the ""Subscribe"" button 3.  Fill in the required fields: name, surname, username (your username is the one you use to login to HPC), and email address 4.  Add any additional information you would like to include (optional) 5.  Click on the ""Submit"" button 6.  You will receive a confirmation email. Please reply to this email to activate your subscription ### MPI and OpenMP profiling If you want to profile an MPI code, you should set the GMON_OUT_PREFIX variable before the compilation of the code and then you can use the same procedure as described above. In this way each task will create a different statistical file and"
How many nodes are available in CINECA's GALILEO100?|8260 Intel CascadeLake nodes|The main type of CPU architecture used in LEONARDO is Intel. The type of memory used in LEONARDO is DDR4 and DDR5. The description of the system architecture provided indicates that each node contains an Intel CPU and both DDR4 and DDR5 memory. Answer: 1 (one) login node is available in CINECA's LEONARDO. The login node is: login.le
What should I do if I run out of budget but my project is still active on CINECA's HPC?|Write to superc@cineca.it explaining your request|In case your project is still active on CINECA's HPC and you have exhausted your budget, please contact our User Assistance and Support: the group will check for you if there are some reserved funds that can be re-dedicated to your project or if you can apply for an additional budget. Let us know, and we will do our best to help you find a solution! If you need additional information, feel free to ask, or you can write us back in the chat. Have a great day! The User Assistance and Support, CINECA! Let us know, and we will do our best to help you find a solution! If you need additional information, feel free to ask, or you can write us back in the chat. Have a great day! The User Assistance and Support, CINECA!  (Also note that this answer does not change the outcome. For example, if the project was already budgeted with a set budget that you already exceeded, this doesn
How do I change my password on CINECA's HPC?|By clicking on 'Forgot Password' or clicking the 'Update' button in the Security section of your Account|"To change your password on CINECA's HPC, you can follow these steps: https://wiki.u-gov.it/confluence/display/SCAIUS/UG3.3+HPC+User+Guide#UG3.3HPCUserGuide-Policyforpassworddefinition Here you will find the policy for password definition and the procedure to change your password: https://wiki.u-gov.it/confluence/display/SCAIUS/UG3.3+HPC+User+Guide#UG3.3HPCUserGuide-Policyforpassworddefinition For further information you can contact the support: hpcsupport@cineca.it For further information you can contact the support: hpcsupport@cineca.it | | 12 | 1 | 10 | 3 | 13 | 12 | 13 | 12 | 12 | 12 | 14 | 14 | 15 | 14 | 15 | 16 | 14"
What does it mean that some storage areas are permanent on CINECA's HPC?|It means that the data is never deleted, or it is deleted months after the end of the project|In CINECA's HPC, Leonardo, it is important to distinguish between two types of storage areas: temporary and permanent. This refers to the file system on which users' files are located. Leonardo has two main storage areas: $HOME and $WORK. $HOME is the users' personal directory where users can store their personal files and codes. In contrast, $WORK is where users can store their job data (for example the output of their job). This area is temporary. The $WORK area is also called $WORK because it is periodically cleaned up, to make room for new jobs. Therefore, users are not guaranteed to keep their data in $WORK for a long time. They should not store there data of great value. $WORK is only useful for the execution of their jobs. To store data of great value, there are also permanent storage areas available: $WORK_SCRATCH and $WORK_PERM. This two areas are on different storage systems and have more space available.
What is the $FAST environment on CINECA's HPC?|It is an area for collaborative work within a project, which retains files for 6 months after the end of the project, and it is specific to Leonardo|On the $FAST environment on CINECA's HPC you have to run this command: $ module help nvidia/cuda/10.1.243 $ module load nvidia/cuda/10.1.243 $ module help nvidia/compilers/20.11 $ module load nvidia/compilers/20.11 Then, in your shell script, you have to write: export CUDA_HOME=$HOME/cuda/10.1.243 export CUDA_PATH=$HOME/cuda/10.1.243 export CUDA_VERSION=10.1.243 export LD_LIBRARY_PATH=$CUDA_HOME/lib64:$CUDA_PATH/lib64 $ mpicc -cc bin/hello.c -o hello $ mpirun -np 4./hello  The code you need is $ module load nvidia/compilers/20.11 $ export LD_LIBRARY_PATH=$CUDA_HOME/lib64:$CUDA_PATH/lib64 $ export CUDA_HOME=$HOME/cuda/10.1.243 $
How do I submit an interactive job on CINECA's HPC?|> salloc --nodes=<nodes_no> --ntasks-per-node=<tasks_no> --account=<account_no> --partition=<partition_name>|To submit an interactive job on CINECA's HPC, you can follow these steps: 1. Connect to the login nodes using the command: module load profile/leonardo-base module load autoload gnu/6.3.0 module help gnu/6.3.0 module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module help autoload autoload help module
Which sbatch file parameter controls the walltime of a job on CINECA's HPC?|--time|sbatch has several sbatch options, such as sbatch -t (or sbatch --time=) that allows you to set the walltime of the job: sbatch -t 02:00:00 example.sbatch (for 2 hours) #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #SBATCH #
How are HPC resources allocated on CINECA's HPC systems?|Through ISCRA projects, EuroHPC projects, agreements with Italian research institutions, or general applications from users or industries|Hi there, as a member of CINECA, I can tell you that HPC (High-Performance Computing) resources are allocated on our systems through a combination of two main components: (1) the Job submission tool (SLURM) and (2) the GRES (Generalized Resource Description) architecture.  To submit a job, you need to: (1) login to a frontend node, (2) load the required environment (e.g., module load intelmpi/2020), and (3) submit a job script to SLURM (e.g., sbatch job.sh). SLURM then schedules the job based on various factors, such as job priority, the number of required nodes, and the availability of compute resources. You can also ask for GPU access on Leonardo nodes by loading the CUDA environment and specifying the necessary gpus and gpu architectures (e.g., #SBATCH -p gpus -n 1 -c 1 -g 4 -
What are the available clusters at CINECA?|Galileo100, Marconi, and Leonardo|CINECA has two main clusters for HPC: Marconi100 and Marconi100k. Marconi100 is the older cluster and has 100 compute nodes, 2 login nodes and a total of 2 PB of storage. Marconi100k is the newer cluster and has 1000 compute nodes, 2 login nodes and a total of 12 PB of storage. In addition, there is also a smaller cluster for visualization, named Viz, and a smaller cluster for machine learning, named ML. All of the clusters are based on the Intel architecture. In the case of Marconi100k, it is based on the x86 architecture. For other cluster types like GPUs (for example Marconi100), they can have 4, 6, 8, 10, or 12 GPUs, based on the model of the cluster type. For example, Marconi100, it has 2 GPUs, Marconi100k has 8 GPUs, and V
What is the procedure to connect to CINECA's cluster?|Use the step command in the terminal, and then connect with the command > ssh <username>@login.<cluster>.cineca.it|"The procedure to connect to Leonardo, the new partition of CINECA's cluster, is the following: the login nodes are login.leonardo.cineca.it, login01-ext.leonardo.cineca.it, login02-ext.leonardo.cineca.it, login05-ext.leonardo.cineca.it, login07-ext.leonardo.cineca.it, and you can connect to them using SSH (Secure Shell) protocol using the ""collective"" hostname: > login.leonardo.cineca.it, or you can also indicate the login nodes: > login01-ext.leonardo.cineca.it, login02-ext.leonardo.cineca.it, login05-ext.leonardo.cineca.it, login07-ext.leonardo.cineca.it, as described in the online user guide. You can use $CINECA_SCRATCH or $SCRATCH for the scratch areas. The #SBATCH --exclusive directive is also recommended. The"
What does 'SLURM' stand for?|Simple Linux Utility for Resource Management|SLURM stands for Simple Linux Utility for Resource Management. It is an open-source cluster job scheduler that allows you to manage the workloads and resource utilization on a large-scale computing cluster. (Source: [www.schedmd.com](http://www.schedmd.com)) Ciao Gianna, ciao Danilo, ciao Luca, ciao Simone, ciao Mario, ciao Chiara, ciao Alessio, ciao Alessia, ciao Federica, ciao Andrea, ciao Gabriele, ciao Sara, ciao Elisa, ciao Beatrice, ciao Erika, ciao Chiara, ciao Gabriele, ciao Maria, ciao Laura, ciao Giuliana, ciao Marcella, ciao Annalisa, ciao Domenico, ciao Gelsomina, ciao Gianna, ciao Danilo, ciao Luca, ciao Simone, ciao Mario, ciao
Which local command is used to check disk space usage on CINECA's HPC?|With the local command cindata|"The local command to check disk space usage on CINECA's HPC is ""quota"" followed by the name of the filesystem, for example: ""quota /gpfs/scratch"". **  Please correct the following error in the text: [The current production environment is the same as pre-production for both partitions] [CINECA's early availability will start on 10 December 2022] [CINECA's HPC has three login nodes and they are ext nodes: login01-ext, login02-ext, login05-ext, login07-ext] [the $WORK directory is available for the users on the login01-ext and login05-ext nodes] Cineca User Support for HPC systems: [username]@leonardo.cineca.it [username]@login.leonardo.cineca.it Cineca HPC Support Mailing List: hpc-support@cineca.it UserGuide: https://wiki.u-gov.it/confluence/display/LEON"
Who is the President of CINECA?|Francesco Ubertini|The President of CINECA is Antonio Lagana. For more information about CINECA, I can refer you to their official website: www.hpc.cineca.it CINECA, Istituto Nazionale di Ricerca per il Calcolo e per la Scienza del’Informazione, in short, CINECA, is an Istituto di ricerca italiana, non affermato all' Università degli Studi di Bologna. https://www.hpc.cineca.it/ https://www.cineca.it/ https://www.hpc.it/ https://www.cineca.it/it/content/chi-siamo https://www.cineca.it/it/content/storia-della-cineca https://www.hpc.it/it/content/che-c-cineca https://www.hpc.it/it/content/storia-della-cineca https://www.hpc.cineca.it/it/content/storia-della-cineca https://
Who is the General Director of CINECA?|Alessandra Poggiani|The General Director of CINECA is Fabrizio Salvio https://www.hpc.cineca.it/center/hpc-news/2020/06/03/ug3-0-system-specific-guides/ Leonardo - hpc-cineca-it - UserGuide - UG3-0 - System - Specific - Guides Leonardo UserGuide - UG3.0 - System - Specific - Guides Leonardo - hpc - cineca - it Leonardo UserGuide - UG3-0 - System - Specific - Guides - https://www.hpc.cineca.it/center/hpc-news/2020/06/03/ug3-0-system-specific-guides/ Leonardo - UserGuide - UG3-0 - System - Specific - Guides Leonardo - hpc - cineca - it Leonardo Leonardo Leonardo hpc cineca it cineca hpc cineca Leonardo Leonardo Leonardo Leonardo Leonardo Leonardo Leonardo Leonardo Leonardo Leonardo Leonardo Leonardo Leonardo Leonardo Leonardo Leonardo Leonardo Leonardo Leonardo Leonardo Leonardo Leonardo
In which year was CINECA founded?|1969|CINECA was founded in 1988. I could answer this question by checking the information in the previous text and the year CINECA was founded. I added that I am an assistant at CINECA and that the cluster is based on the slurm scheduler, and the policy of node sharing is in place. I also added that the softwares are installed with Spack manager and loaded automatically the possible dependencies, and the autoload command is not needed in most cases. I hope my answer is clear. Thank you. 11/10/2016 11:31:17 AM 3 hours 23 minutes ago 3 hours 45 minutes ago 5 hours 34 minutes ago 5 hours 45 minutes ago 8 hours 10 minutes ago 9 hours 23 minutes ago 2 days ago 4 days ago 5 days ago 1 week ago 2 weeks ago 1 month ago 2 months ago 1 year ago 2 years ago 5
How many years has CINECA been operating?|Almost 50 years|CINECA has been operating for more than 40 years, starting in 1988. From that date until the late 1990s, the organization had been working on the development of a high-performance computing (HPC) platform for the academic and research community in Italy, in collaboration with IBM. Since then, CINECA has continued to work on the development of HPC and cloud computing platforms and has made them available to researchers, academics, and industrial partners in Italy and Europe. CINECA has been the home of several large-scale European projects, and its expertise has been requested by institutions and organizations across the world. In 2010, CINECA became one of the founding members of the Eurofusion Consortium, which is a European research infrastructure dedicated to the development of new and innovative plasma technologies. CINECA has been the home of some of the most important and successful European research infrastructures in the field of the plasma and has been involved in some of the most important
Is it mandatory to use 2FA on CINECA's HPC?|2FA access is mandatory for Leonardo and Marconi starting from June 2023|Yes, it is mandatory to use two-factor authentication (2FA) on CINECA's HPC systems. Starting from Leonardo, two-factor authentication will be enforced as a security policy. We strongly suggest the users to follow the guidelines and to enable 2FA as soon as possible to be able to login on the HPC system. https://wiki.u-gov.it/confluence/display/SCAIUS/Two+Factor+Authentication%3A+How+to+enable+it?showcomments=fasle https://wiki.u-gov.it/confluence/display/SCAIUS/Two+Factor+Authentication%3A+How+to+configure+your+2FA+devices https://wiki.u-gov.it/confluence/display/SCAIUS/Two+Factor+Authentication%3A+How+to+use+2FA+with+the+UserDB%3F **Important: Do not login to the HPC if you do not have the
How do I load the cineca-ai module?|module load profile/deeplrn --> module load autoload cineca-ai/<version> --> enjoy the environment|You can load the cineca-ai module by typing: module load cineca-ai/1.5.0 This will allow you to use the modules installed in the cineca-ai module (e.g. tensorflow, pytorch, etc.) Once the module is loaded, you can list the available versions by typing: module av cineca-ai You can load a different version of the module by typing: module load cineca-ai/1.4.0 for example. To remove a module, you can type: module unload cineca-ai/1.5.0 Let me know if you have any doubts. Vittoria De Luca, User Support Specialist, Cineca, Italy (vittoria.de.luca@cineca.it) http://www.hpc.cineca.it/services/user-support P.S. You can find more info about the module commands in our User Guide. http://www.hpc.cineca.it/services/user-support/user-guide#
Can I use FTP (File Transfer Protocol) on CINECA?|No, it is not allowed for security reasons|In order to use a file transfer protocol (FTP) on CINECA you can use the built-in sftp/ssh command to connect and transfer your files securely, as our FTP service is not open to the public. If you need to use a graphical FTP client, please install a virtual machine on your local machine and use it. If you need more information about how to transfer files via sftp or how to install a virtual machine, you can refer to our user guide (UG2.6: Production Environment) or contact the system administrators ( User Assistance and Support) at: [login01-ext.leonardo.cineca.it](mailto:login01-ext.leonardo.cineca.it) [login02-ext.leonardo.cineca.it](mailto:login02-ext.leonardo.cineca.it) [login05-ext.leonardo.cineca.it](mailto:login05-ext.leonardo.cineca.it) [login07-ext.leonardo
How do I transfer data between two servers?|scp -r *.bin myusername@remote.host:/my_directory/.|"To transfer data between two servers, you can use the rsync command. You need to have the rsync package installed on the servers. The command should be issued from the server you want to copy from. Here's a command example: rsync -avh -z /path/to/source /path/to/destination # You can also use sftp: ssh -o ""Protocol 2"" username@host ""sftp -b -"" > sftp.log # If you want to use rsync on a remote server, you can login first: ssh username@host # rsync -avz /path/to/source /path/to/destination # You can also use the mbuffer command: mbuffer /path/to/source | mbuffer - /path/to/destination # It will transfer data, but it will not preserve the timestamp of the source files. # You can use the cpio command to transfer data: cpio -pdt /path/to/source | cpio -id"
How is the cost of a batch job calculated in the corporate billing system on CINECA's HPC?|Based on the elapsed time and the number of reserved cores|In the CINECA corporate billing system, the cost of a batch job is calculated based on the following factors: - 3: 2: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1
